num_shots,launch_velo_mean,launch_velo_std,launch_velo_inconsistency_zscore,launch_velo_inconsistency_percentile,launch_velo_consistency_percentile,launch_angle_mean,launch_angle_std,launch_angle_inconsistency_zscore,launch_angle_inconsistency_percentile,launch_angle_consistency_percentile,launch_distance_inconsistency_zscore,launch_distance_inconsistency_percentile,launch_distance_consistency_percentile,dist_from_sweet_mean,dist_from_sweet_std,shooting_percentage,shooting_percentage_zscore,shooting_percentage_percentile,command,command_zscore,command_percentile,inconsistency_score,inconsistency_score_percentile,consistency_score_percentile
429,14.81551556,0.254081413,-0.338172098,42.38769209,57.61230791,45.0338061,1.539945205,-0.19629082,31.24501326,68.75498674,0.285847354,44.46641026,55.53358974,0.360081751,0.198510846,0.75990676,-0.228200934,63.33419426,0.708629002,0.604933139,74.87254835,-0.534462918,42.14911676,57.85088324
599,14.5217893,0.280316142,0.456318815,54.64214244,45.35785756,44.89827895,1.693213326,0.356773692,40.26151242,59.73848758,1.38019876,61.25949616,38.74050384,0.320293769,0.184492591,0.883138564,1.319492473,90.00655425,0.730124715,1.472253078,89.13205477,0.813092507,56.0980957,43.9019043
297,14.67096765,0.293379322,0.851923354,60.74405765,39.25594235,41.54299452,2.143972605,1.983328246,66.77890319,33.22109681,1.113107636,57.16091854,42.83908146,0.455860687,0.26267551,0.599326599,-2.244959978,28.57813537,0.655254372,-1.548653563,39.46567943,2.8352516,77.03011385,22.96988615
223,14.89257532,0.243137661,-0.669592022,37.27577837,62.72422163,46.74156738,1.350385386,-0.880313093,20.09353613,79.90646387,0.41702902,46.47942452,53.52057548,0.301386323,0.157741197,0.914798206,1.717112385,96.8589847,0.746173688,2.119805197,99.77838396,-1.549905115,31.63794849,68.36205151
370,14.69016284,0.312023955,1.416556287,69.45311413,30.54688587,46.48691057,1.885150373,1.049374137,51.55283776,48.44716224,1.790895505,67.56173663,32.43826337,0.483821063,0.27775287,0.645945946,-1.65945808,38.66845257,0.641898192,-2.087555511,30.60565508,2.465930424,73.20715176,26.79284824
112,14.97563184,0.200048848,-1.974491005,17.14865101,82.85134899,46.80343326,1.683671707,0.322342977,39.70019542,60.29980458,-1.457196291,17.71898573,82.28101427,0.323552324,0.167848056,0.8125,0.432328313,74.71750427,0.732870047,1.583023137,90.95321244,-1.652148027,30.57959926,69.42040074
834,14.75308901,0.270885176,0.170712015,50.23686317,49.76313683,47.28095271,1.590328502,-0.014483845,34.20897569,65.79102431,0.388774993,46.04585968,53.95414032,0.376015511,0.226542713,0.806954436,0.362680447,73.51721943,0.694933487,0.052339535,65.78742107,0.15622817,49.29868201,50.70131799
485,14.54439608,0.242762312,-0.680959055,37.10045006,62.89954994,45.84935939,1.447688732,-0.529196193,25.81772412,74.18227588,0.254548608,43.98612347,56.01387653,0.355171809,0.196261701,0.839175258,0.767348325,80.49111183,0.711343709,0.714467515,76.67339031,-1.210155249,35.15480846,64.84519154
132,14.99489766,0.249340177,-0.481755417,40.17302277,59.82697723,49.95495522,1.145250539,-1.620537499,8.025806971,91.97419303,-0.591902063,30.99713406,69.00286594,0.388550445,0.19547914,0.765151515,-0.162330982,64.46937199,0.696887254,0.131171123,67.08348205,-2.102292916,25.92000497,74.07999503
323,15.08684427,0.278434125,0.399323918,53.76303719,46.23696281,52.02817851,1.71200844,0.424595428,41.36719651,58.63280349,-0.059938961,39.16023599,60.83976401,0.384033365,0.21760196,0.829721362,0.64861492,78.44490545,0.693770885,0.005430259,65.0161911,0.823919347,56.2101678,43.7898322
664,14.71367005,0.252553202,-0.384452365,41.67385229,58.32614771,48.00815157,1.287575873,-1.106959787,16.3985608,83.6014392,0.61497241,49.51691352,50.48308648,0.343514425,0.195595739,0.844879518,0.838989296,81.7257451,0.716693204,0.930311653,80.22205872,-1.491412152,32.24342793,67.75657207
